game,round,phase,is_starter,is_playing,player,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus
PAR-MAD,37,PLAYOFFS,True,True,Andjusic Danilo,16:50,6,0,1,2,6,0,0,0,1,1,0,0,0,0,0,2,0,0,5
PAN-PAR,6,REGULAR SEASON,False,True,Andjusic Danilo,18:49,10,1,1,1,3,5,5,0,1,1,1,0,1,0,0,4,2,7,6
IST-PAR,29,REGULAR SEASON,False,False,Andjusic Danilo,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUN-PAR,24,REGULAR SEASON,False,True,Andjusic Danilo,14:17,7,2,2,0,1,3,4,0,3,3,1,0,1,0,0,3,1,6,11
BAS-PAR,2,REGULAR SEASON,False,True,Andjusic Danilo,07:41,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,-1,-7
PAR-RED,12,REGULAR SEASON,False,True,Andjusic Danilo,10:34,5,1,1,1,5,0,0,0,0,0,1,0,2,0,0,2,2,0,-1
PAR-BER,26,REGULAR SEASON,False,True,Andjusic Danilo,13:27,6,0,0,2,3,0,0,0,3,3,0,0,1,0,0,0,1,8,19
VIR-PAR,27,REGULAR SEASON,False,True,Andjusic Danilo,04:55,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,-2,-10
PAR-MAD,38,PLAYOFFS,False,True,Andjusic Danilo,18:40,7,2,3,1,3,0,1,0,2,2,3,1,1,0,0,3,2,7,16
PAR-MUN,16,REGULAR SEASON,False,False,Andjusic Danilo,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAR-PAN,34,REGULAR SEASON,True,True,Andjusic Danilo,04:50,2,1,1,0,1,0,0,0,1,1,1,0,2,0,0,0,0,1,-1
MAD-PAR,36,PLAYOFFS,False,True,Andjusic Danilo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0
